Year,Album,Artist,Song,F*ck,Sh*t,B*tch,P*ssy,Ho€,N-Word,D*ck,C*ck,Homophobic,G-Damn,Skeet,Tits,C*nt,Ass,Total
1988,Strait Outta Compton,NWA,quiet on tha set,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1988,Strait Outta Compton,NWA,if it ain't ruff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Strait Outta Compton,NWA,express yourself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Strait Outta Compton,NWA,I ain't tha 1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Strait Outta Compton,NWA,something 2 dance 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,It Takes a Nation,Public Enemy,show em whatcha got,2,4,0,0,0,0,0,0,0,0,0,0,0,0,6
1988,It Takes a Nation,Public Enemy,terminator x to the edge of panic,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1988,It Takes a Nation,Public Enemy,black steel in the hour of chaos,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1988,It Takes a Nation,Public Enemy,reggie jaz,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1988,It Takes a Nation,Public Enemy,night of the living basheads,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1988,It Takes a Nation,Public Enemy,Bring the noise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,It Takes a Nation,Public Enemy,don't believe the hype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,It Takes a Nation,Public Enemy,cold lampin with flavor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,It Takes a Nation,Public Enemy,mind terrorist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,It Takes a Nation,Public Enemy,louder than a bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,It Takes a Nation,Public Enemy,"caught, can we get a witness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,It Takes a Nation,Public Enemy,she watch channel zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,It Takes a Nation,Public Enemy,rebel without a pause,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,It Takes a Nation,Public Enemy,prophets of rage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,It Takes a Nation,Public Enemy,party for your right to fight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,The Great Adventure,Slick Rick,lick the balls,6,1,1,0,0,0,1,0,0,0,0,0,0,0,9
1988,The Great Adventure,Slick Rick,the moment I feared,6,1,0,0,0,1,0,0,0,0,0,0,0,0,8
1988,The Great Adventure,Slick Rick,indian girls,1,0,0,1,0,0,1,0,0,0,0,2,0,1,6
1988,The Great Adventure,Slick Rick,treat her like a prostitute,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1988,The Great Adventure,Slick Rick,teenage love,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1988,The Great Adventure,Slick Rick,the rulers back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,The Great Adventure,Slick Rick,childrens story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,The Great Adventure,Slick Rick,lets get crazy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,The Great Adventure,Slick Rick,mona lisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,The Great Adventure,Slick Rick,kit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,The Great Adventure,Slick Rick,hey young world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,The Great Adventure,Slick Rick,"teacher, teacher",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Paul's Boutique,Beastie Boys,b-boy bouillabaisse,3,1,0,0,0,0,2,0,0,0,0,0,0,1,7
1989,Paul's Boutique,Beastie Boys,car theif,2,0,0,0,0,0,1,0,0,0,0,0,0,2,5
1989,Paul's Boutique,Beastie Boys,3-mineute rule,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3
1989,Paul's Boutique,Beastie Boys,looking down the barrel of a gun,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
1989,Paul's Boutique,Beastie Boys,what comes around,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1989,Paul's Boutique,Beastie Boys,shadrach,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1989,Paul's Boutique,Beastie Boys,Shake your rump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Paul's Boutique,Beastie Boys,johnny ryall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Paul's Boutique,Beastie Boys,egg man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
