,Year,Album,Artist,Song,F*ck,Sh*t,B*tch,P*ssy,Ho,N-Word,D*ck,C*ck,Homophobic,G-Damn,Skeet,Tits,C*nt,Ass,Total,City,State
76,1987,Criminal Minded,Boogie Down,Poetry,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
77,1987,Criminal Minded,Boogie Down,South Bronx,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
78,1987,Criminal Minded,Boogie Down,9mm Goes Bang,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
79,1987,Criminal Minded,Boogie Down,Word From Our Sponsor,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
80,1987,Criminal Minded,Boogie Down,Elementary,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
81,1987,Criminal Minded,Boogie Down,Dope Beat,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
82,1987,Criminal Minded,Boogie Down,Remix For P Is Free,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
83,1987,With Fame,Dana Dane,Nightmares,0,0.0,0,0.0,0.0,0,0,0.0,1,0,0,0,0,0.0,1,Fort Greene,New York
84,1987,With Fame,Dana Dane,Cinderfella dana Dane,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Fort Greene,New York
85,1987,With Fame,Dana Dane,Delancey Street,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Fort Greene,New York
86,1987,With Fame,Dana Dane,We Wanna Party,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Fort Greene,New York
87,1987,With Fame,Dana Dane,Love at first sight,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Fort Greene,New York
88,1987,BAD Bigger and Deff,LL Cool J,the breakthrough,2,1.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1.0,4,Bay Shore,New York
89,1987,BAD Bigger and Deff,LL Cool J,get down,1,0.0,0,0.0,0.0,2,0,0.0,0,0,0,0,0,0.0,3,Bay Shore,New York
